Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
AAZQ11,Títulos e Val. Mob.,707,"17,36%","17,00%",82,169.944.000,621.278,0,000,000,"0,00%","0,00%"
ABCP11,Shoppings,7695,"8,38%","8,54%",71,362.364.000,61.401,1,"5.052,97",53709,"10,63%","1,37%"
AEFI11,Outros,17490,"8,55%","0,00%",175,411.893.000,0,0,000,000,"0,00%","0,00%"
AFCR11,Híbrido,10315,"12,61%","0,00%",107,498.867.000,0,0,000,000,"0,00%","0,00%"
AFHI11,Títulos e Val. Mob.,9196,"10,99%","12,30%",99,418.935.000,867.634,0,000,000,"0,00%","0,00%"
AFOF11,Títulos e Val. Mob.,9160,"0,82%","0,00%",1228,1.390.540.000,0,0,000,000,"0,00%","0,00%"
AGCX11,Outros,"1.235,50","0,53%","0,00%",1157,19.291.500.000,0,82,"63.941,30",46890,"0,73%","3,86%"
AGRX11,Híbrido,808,"23,50%","16,35%",79,144.657.000,206.135,0,000,000,"0,00%","0,00%"
AIEC11,Lajes Corporativas,4511,"19,61%","16,64%",58,217.655.000,336.851,2,"8.747,82","1.786,85","20,43%","0,00%"
AJFI11,Títulos e Val. Mob.,737,"11,47%","10,97%",61,233.083.000,1.546.560,6,"1.052,92",12626,"11,99%","93,55%"
ALMI11,Lajes Corporativas,56000,"6,72%","6,28%",27,62.259.100,20.788,1,"1.357,59",21842,"16,09%","55,40%"
ALZC11,Títulos e Val. Mob.,7848,"3,93%","17,37%",80,157.354.000,465.597,0,000,000,"0,00%","0,00%"
ALZM11,Títulos e Val. Mob.,640,"11,76%","13,21%",86,97.155.500,0,0,000,000,"0,00%","0,00%"
ALZR11,Híbrido,9765,"7,87%","9,37%",94,1.193.930.000,2.197.230,18,"4.786,70",37374,"7,81%","0,00%"
ALZT11,Títulos e Val. Mob.,3300,"15,52%","7,50%",79,16.500.000,0,0,000,000,"0,00%","0,00%"
ANCR11,Shoppings,12000,"7,88%","6,59%",109,3.208.210.000,109,7,"13.420,80","1.400,35","10,43%","4,42%"
APTO11,Híbrido,851,"12,66%","13,67%",88,39.250.100,15.435,3,"16.531,20","1.157,42","7,00%","0,00%"
APXM11,Híbrido,9177,"4,43%","5,81%",74,259.630.000,326.936,1,"1.438,66",15672,"10,89%","100,00%"
ARCT11,Híbrido,8713,"-60,77%","0,00%",86,368.999.000,0,12,"1.100,84",9919,"9,01%","0,00%"
AROA11,Outros,098,"7.756,39%","7,50%",103,158.337,5.518,6,121,10476,"8.686,54%","0,00%"
ARRI11,Títulos e Val. Mob.,749,"8,64%","15,04%",89,155.245.000,228.528,0,000,000,"0,00%","0,00%"
ARXD11,Títulos e Val. Mob.,732,"12,92%","16,36%",79,65.961.800,139.491,0,000,000,"0,00%","0,00%"
ASMT11,,3750,"9,88%","0,00%",40,40.547.100,23.742,3,"3.342,65",75512,"22,59%","0,00%"
ASRF11,Híbrido,"10.888,00","-4,77%","0,00%",112,43.552.000,0,2,"5.051,44",000,"0,00%","0,00%"
ATSA11,Shoppings,4998,"5,09%","4,42%",66,87.522.000,607,1,"2.574,27",14942,"5,80%","16,77%"
AURB11,Logística,7280,"0,12%","0,00%",100,65.411.800,2.449,2,"7.352,59",44111,"6,00%","0,01%"
AZPL11,Logística,743,"4,85%","7,96%",76,135.298.000,792.099,1,58282,1419,"2,43%","0,00%"
BARI11,Títulos e Val. Mob.,7348,"13,05%","13,38%",81,340.520.000,528.996,3,"3.206,32",000,"0,00%","0,00%"
BBFI11,Lajes Corporativas,30004,"229,44%","45,58%",42,39.005.200,35.630,1,73114,"2.401,14","328,41%","100,00%"
BBFO11,Títulos e Val. Mob.,6239,"18,88%","12,51%",85,249.803.000,349.958,0,000,000,"0,00%","0,00%"
BBGO11,Títulos e Val. Mob.,6681,"12,09%","13,13%",72,267.585.000,313.067,0,000,000,"0,00%","0,00%"
BBIG11,Shoppings,700,"10,59%","12,99%",73,693.847.000,888.577,0,000,000,"0,00%","0,00%"
BBPO11,Lajes Corporativas,9675,"10,42%","0,00%",95,1.540.230.000,0,61,"3.690,03",47956,"13,00%","1,44%"
BBRC11,Outros,10200,"12,79%","12,77%",97,162.180.000,70.895,21,"9.424,83","1.473,71","15,64%","12,53%"
BBVJ11,Lajes Corporativas,6299,"2,23%","0,00%",86,197.789.000,0,1,"10.225,30",57089,"5,58%","43,70%"
BCFF11,Títulos e Val. Mob.,735,"8,06%","7,72%",84,1.480.960.000,0,0,000,000,"0,00%","0,00%"
BCIA11,Títulos e Val. Mob.,8335,"12,56%","12,32%",86,309.982.000,382.973,0,000,000,"0,00%","0,00%"
BCRI11,Títulos e Val. Mob.,6676,"14,90%","13,94%",79,417.776.000,579.250,0,000,000,"0,00%","0,00%"
BGRB11,Lajes Corporativas,9990,"0,56%","1,57%",108,149.900.000,39.609,1,"42.106,70",41789,"0,99%","0,00%"
BICE11,Títulos e Val. Mob.,89543,"8,20%","9,00%",87,119.463.000,19.608,0,000,000,"0,00%","0,00%"
BICR11,Títulos e Val. Mob.,3592,"14,26%","6,42%",86,17.960.000,0,0,000,000,"0,00%","0,00%"
BIME11,Híbrido,678,"14,51%","15,01%",82,39.633.200,70.805,1,28255,000,"0,00%","0,00%"
BIPD11,Títulos e Val. Mob.,98817,"-2,32%","7,39%",100,109.133.000,0,2,"7.538,54",000,"0,00%","0,00%"
BLCA11,Lajes Corporativas,9899,"6,40%","6,08%",75,158.384.000,160.052,1,"43.566,40","3.412,51","7,83%","0,00%"
BLCP11,Logística,9100,"5,41%","0,00%",81,208.962.000,0,2,"3.014,16",19989,"6,63%","0,00%"
BLMC11,Títulos e Val. Mob.,8575,"11,10%","0,00%",91,34.257.100,0,0,000,000,"0,00%","0,00%"
BLMG11,Outros,3305,"16,48%","12,72%",47,141.084.000,369.514,2,7583,4467,"58,90%","58,43%"
BLMO11,Lajes Corporativas,7999,"6,61%","6,72%",76,79.575.200,634.521,1,"9.520,45",83770,"8,80%","0,00%"
BLMR11,Títulos e Val. Mob.,678,"10,17%","0,00%",84,173.172.000,0,0,000,000,"0,00%","0,00%"
BLOG11,Títulos e Val. Mob.,1038,"1,92%","2,80%",93,294.885.000,321,5,"2.455,13",8445,"3,44%","0,00%"
BLUR11,Títulos e Val. Mob.,6811,"12,27%","11,13%",93,6.129.900,1.373,0,000,000,"0,00%","0,00%"
BMLC11,Híbrido,9724,"8,91%","8,82%",86,97.084.900,1.070.140,1,"15.119,10","1.435,55","9,49%","2,14%"
BNFS11,Outros,7109,"22,43%","20,93%",91,49.763.000,143.124,18,"4.562,88","1.199,01","26,28%","0,22%"
BPFF11,Outros,5895,"17,53%","12,35%",85,264.823.000,241.369,0,000,000,"0,00%","0,00%"
BPML11,Híbrido,8000,"9,76%","15,74%",61,595.340.000,1.719.450,4,"4.452,06",71563,"16,07%","7,04%"
BPRP11,Outros,10750,"10,56%","5,12%",86,145.107.000,0,1,"6.230,68",69207,"11,11%","0,00%"
BRCO11,Logística,10990,"7,21%","9,42%",93,1.747.970.000,2.804.170,12,"3.442,93",29599,"8,60%","0,00%"
BRCR11,Híbrido,4125,"0,60%","14,09%",48,1.098.830.000,1.530.760,6,"9.886,56","1.567,01","15,85%","1,20%"
BREV11,Híbrido,10500,"6,59%","0,00%",0,101.556.000,0,13,000,"1.437,55","0,00%","0,00%"
BRIM11,Residencial,55995,"-2,58%","27,31%",123,69.510.500,23.596,1,"136.396,00",000,"0,00%","0,00%"
BRIP11,Híbrido,93100,"-3,65%","39,20%",127,200.607.000,26.534,0,000,000,"0,00%","0,00%"
BRLA11,Outros,14800,"7,73%","5,33%",89,724.795.000,0,10,"1.083,60",8630,"7,96%","0,00%"
BROF11,Híbrido,4800,"12,22%","12,49%",44,557.319.000,319.496,2,"5.922,98",98024,"16,55%","4,65%"
BTAL11,Outros,7555,"19,94%","13,18%",68,451.996.000,578.214,9,"1.303,97",17769,"13,63%","0,00%"
BTCI11,Títulos e Val. Mob.,893,"12,28%","12,28%",89,888.724.000,1.383.160,0,000,000,"0,00%","0,00%"
BTCR11,Títulos e Val. Mob.,8800,"12,48%","0,00%",92,423.289.000,0,0,000,000,"0,00%","0,00%"
BTHF11,Híbrido,798,"5,13%","5,88%",79,1.642.660.000,3.520.680,0,000,000,"0,00%","0,00%"
BTHI11,Hotel,3950,"9,57%","10,23%",58,364.131.000,16.402,14,"6.389,65",69237,"10,84%","0,00%"
